id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price_clean,estimated_revenue_l365d,est_monthly_revenue,estimated_occupancy_l365d,number_of_reviews,reviews_per_month,review_scores_rating,host_id,host_is_superhost,host_years,amenities_count,neighbourhood_listing_count,competition_level,quality_index
1150042157888055992,A Cozy New 1-BR  Apt (9B1) Near Downtown Boston,Dorchester,42.2959361,-71.0808318,Entire rental unit,Entire home/apt,3,2.0,135.0,34425.0,2868.75,255,81,4.85,4.88,31070527,t,10.457534246575342,39,572,High,0.7208076114194127
1150783864156257056,Nice 2 BR 2BA Boston hospitals,Jamaica Plain,42.32837,-71.11039,Entire rental unit,Entire home/apt,6,0.0,699.0,0.0,0.0,0,2,0.12,5.0,163848078,f,7.756164383561644,35,240,Medium,0.7227291756256282
1150977939911878100,Brownstone Oversized Furnished Studio in Back Bay,Back Bay,42.35145301197261,-71.08240416314436,Entire rental unit,Entire home/apt,2,1.0,316.0,0.0,0.0,0,1,0.06,5.0,89227862,f,9.128767123287671,44,340,High,1.37942319536522
1151289930612121374,Sunny Spacious Room,Brighton,42.35243340572185,-71.16174877844398,Private room in home,Private room,2,1.0,122.0,3660.0,305.0,30,12,0.75,4.83,236817626,f,6.695890410958904,28,303,Medium,-0.2042290681148241
1152488151302138066,Gallery like studio with room divider near city,Brighton,42.34628135597334,-71.14536593744064,Entire rental unit,Entire home/apt,2,2.0,153.0,39015.0,3251.25,255,63,3.83,4.89,416027128,t,4.156164383561644,66,303,Medium,2.715371801719802
1152517706074506494,Artful Boston escape with city views,Brighton,42.34826,-71.14595,Entire rental unit,Entire home/apt,3,2.0,214.0,54570.0,4547.5,255,71,4.29,4.8,416027128,t,4.156164383561644,66,303,Medium,2.4950326219852768
1152797263195692943,"(476-8)  Studio, South End/ Back Bay , Roof Deck!",South End,42.34192237463292,-71.07907155774586,Entire rental unit,Entire home/apt,2,1.0,188.0,47376.0,3948.0,252,57,3.51,4.86,563246552,t,1.5917808219178082,43,291,Medium,0.9637073580293378
1152936040635578826,"(476-3) Bright Studio, Outdoor Space, A+ Location!",South End,42.34383977780176,-71.07942220915876,Entire rental unit,Entire home/apt,2,1.0,218.0,49704.0,4142.0,228,60,3.78,4.85,563246552,t,1.5917808219178082,42,291,Medium,0.8662592247544343
1153002113690971896,Modern One Bedroom with Views,Back Bay,42.34521,-71.08535,Entire rental unit,Entire home/apt,3,1.0,250.0,0.0,0.0,0,0,,,22541573,t,10.953424657534246,40,340,High,
1153561781086478200,Elegant One Bedroom with Amenities,Back Bay,42.34676,-71.08412,Entire rental unit,Entire home/apt,3,1.0,275.0,0.0,0.0,0,0,,,22541573,t,10.953424657534246,40,340,High,
